가게명,카테고리,도로명주소,lon,lat,상권_코드,상권_코드_명
지유명차 서교점,음식점 > 카페 > 전통찻집,서울 마포구 잔다리로 128,126.91334332132644,37.55824657768508,3110557,홍대부속여중고앞
탄정,음식점 > 카페 > 전통찻집,서울 서대문구 연희로11가길 8-8,126.929006762932,37.5681400630355,3130174,연희사러가
어차 연남점,음식점 > 카페 > 전통찻집,서울 마포구 양화로23길 20,126.925279125105,37.5592818711369,3110564,홍대입구역 3번
티노마드,음식점 > 카페 > 전통찻집,서울 마포구 포은로 112,126.904684618711,37.5569559844524,3130185,망원월드컵시장
아르가,음식점 > 카페 > 전통찻집,서울 서대문구 연희맛로 31-10,126.930414838769,37.5681823471688,3130174,연희사러가
두레차,음식점 > 카페 > 전통찻집,서울 마포구 홍익로2길 27,126.923993396563,37.5548382332964,3130191,홍대 걷고싶은 거리
커차그,음식점 > 카페 > 전통찻집,서울 마포구 월드컵로13길 19-23,126.90941660890904,37.55498832760559,3120100,망원역
티아레나,음식점 > 카페,서울 서대문구 연희맛로 43-2,126.931087793186,37.5687701909529,3130174,연희사러가
조앤도슨티룸,음식점 > 카페,서울 마포구 성미산로29길 24,126.92239270609,37.5650761190008,3110562,연트럴파크(연남동주민센터)
포담 티하우스,음식점 > 카페,서울 마포구 성미산로 165-6,126.92473033925334,37.56477489783797,3110506,연희임광아파트
베러댄알콜,음식점 > 카페,서울 마포구 희우정로16길 50,126.90471685501248,37.55474856717831,3110544,망리단길
사이,음식점 > 카페,서울 마포구 토정로4길 6-4,126.914497834165,37.5452793559209,3110556,절두산순교성지
명금탕,음식점 > 카페 > 전통찻집,서울 은평구 진관길 5,126.939150661559,37.6423368390277,3110492,하나고등학교
진관사 연지원,음식점 > 카페 > 전통찻집,서울 은평구 진관길 73,126.94660232779133,37.638154472704734,3110492,하나고등학교
산중다원,음식점 > 카페 > 전통찻집,서울 은평구 의상봉길 31,126.942405574906,37.6530493636747,3110492,하나고등학교
전통찻집담소,음식점 > 카페 > 전통찻집,서울 마포구 월드컵북로 396,126.8897960351835,37.57946340314886,3120098,DMC(디지털미디어시티)
레오폴트스튜디오,음식점 > 카페 > 전통찻집,서울 영등포구 양평로22길 11,126.894468898197,37.5388426337118,3110762,선유도역 1번
오가다 강동점,음식점 > 카페 > 전통찻집 > 오가다,서울 강동구 양재대로 1517,127.14077210699976,37.5411809164635,3111071,천동초등학교
지유명차 명일점,음식점 > 카페 > 전통찻집,서울 강동구 상암로63길 43,127.15396364072282,37.54848416526677,3111086,한영중고
전통찻집 카페수요일,음식점 > 카페 > 전통찻집,서울 강동구 동남로 891,127.1559370546503,37.55330371413975,3120249,고덕역
수다마실,음식점 > 카페 > 전통찻집,서울 강동구 동남로 885,127.15597644000532,37.55265314216527,3120249,고덕역
오가다 서울강동경희대병원점,음식점 > 카페 > 전통찻집 > 오가다,서울 강동구 동남로 892,127.15762664874676,37.55355618253292,3120249,고덕역
인사동전통찻집,음식점 > 카페 > 전통찻집,서울 강동구 상일로7길 12-9,127.171948336796,37.5503442322828,3111089,상일여고(상일초등학교)
