원본_상권명,검색어
동대문패션타운 관광특구,동대문패션타운 관광특구 카페
장충단 고개,장충단 고개 카페
돌곶이역 8번,돌곶이역 카페
문래중학교,문래중학교 카페
까치산시장,까치산시장 카페
신대방역 1번,신대방역 카페
석촌역 7번,석촌역 카페
한겨레신문사,한겨레신문사 카페
구로디지털단지역,구로디지털단지역 카페
부암동주민센터,부암동주민센터 카페
고척초등학교,고척초등학교 카페
구역삼세무서,구역삼세무서 카페
장한평역(장한평),장한평역 카페
석계역 2번,석계역 카페
덕의초등학교,덕의초등학교 카페
관악중부시장,관악중부시장 카페
망리단길,망리단길 카페
목동역 5번,목동역 카페
남구로역 3번,남구로역 카페
영등포역지하도상점가,영등포역지하도 카페
서래마을카페거리(서래마을),서래마을카페거리 카페
잠실새내역(신천),잠실새내역 카페
국기원,국기원 카페
서서울호수공원,서서울호수공원 카페
상왕십리역 6번,상왕십리역 카페
방배초등학교,방배초등학교 카페
가오리역 1번,가오리역 카페
내를건너서숲으로도서관,내를건너서숲으로도서관 카페
서울축산농협 독산역지점(독산파출소),서울축산농협 독산역지점 카페
상도역 5번,상도역 카페
서울중앙시장(신중앙시장),서울중앙시장 카페
응암역 3번,응암역 카페
신진과학기술고등학교,신진과학기술고등학교 카페
시흥동 은행나무사거리,시흥동 은행나무사거리 카페
영등포구청역 2번,영등포구청역 카페
용산전자상가(용산역),용산전자상가 카페
대림3동사거리,대림3동사거리 카페
암사역 1번,암사역 카페
용산구청,용산구청 카페
길음역 8번,길음역 카페
도신초등학교,도신초등학교 카페
태릉입구역,태릉입구역 카페
공릉동 국수거리,공릉동 국수거리 카페
연희파출소,연희파출소 카페
마포구청역 1번,마포구청역 카페
까치산역 3번,까치산역 카페
방이동먹자골목,방이동먹자골목 카페
화곡2동주민센터,화곡2동주민센터 카페
선유도역 1번,선유도역 카페
관악구신사동주민센터,관악구신사동주민센터 카페
도산공원교차로,도산공원교차로 카페
송파사거리(송파역),송파사거리 카페
용강동 상점가,용강동 카페
홍제역 4번,홍제역 카페
벌말어린이공원,벌말어린이공원 카페
양화대교북단,양화대교북단 카페
관악우성아파트,관악우성아파트 카페
연신내상점가(연빛거리),연신내 카페
약수시장,약수시장 카페
목동깨비시장(목3동시장),목동깨비시장 카페
남구로역 5번,남구로역 카페
대림상가(청계상가),대림상가 카페
을지로4가역,을지로4가역 카페
미아사거리역,미아사거리역 카페
구산역 1번,구산역 카페
수궁동주민센터,수궁동주민센터 카페
사당1동먹자골목상점가(사당1동먹자골목),사당1동먹자골목 카페
문현중학교(장지역 1번),문현중학교 카페
청구역 3번,청구역 카페
옥수역 6번,옥수역 카페
대치역,대치역 카페
송중동주민센터,송중동주민센터 카페
연신내역 2번,연신내역 카페
광흥창역 6번,광흥창역 카페
개나리아파트,개나리아파트 카페
GS강동자이아파트,GS강동자이아파트 카페
행당역 2번,행당역 카페
독산동정훈단지,독산동정훈단지 카페
광화문역,광화문역 카페
종로4가,종로4가 카페
월드순복음교회,월드순복음교회 카페
합정역,합정역 카페
KT금천빌딩(금천구시설관리공단),KT금천빌딩 카페
상도4동주민센터,상도4동주민센터 카페
학동사거리,학동사거리 카페
먹골역 1번,먹골역 카페
묵1동도깨비시장,묵1동도깨비시장 카페
아현역 2번,아현역 카페
도봉역 2번,도봉역 카페
우사단길,우사단길 카페
강서구청,강서구청 카페
영동초등학교,영동초등학교 카페
양재천카페거리,양재천카페거리 카페
매봉역,매봉역 카페
둔촌역전통시장,둔촌역전통시장 카페
동묘앞역(동묘),동묘앞역 카페
광진정말공원,광진정말공원 카페
서울대입구역,서울대입구역 카페
봉은사역,봉은사역 카페
길동역,길동역 카페
새남터성지,새남터성지 카페
공항고등학교,공항고등학교 카페
홍대입구역 3번,홍대입구역 카페
방화역 2번,방화역 카페
용마초등학교,용마초등학교 카페
태릉입구역 4번,태릉입구역 카페
성서초등학교,성서초등학교 카페
서울지방병무청,서울지방병무청 카페
영신초등학교,영신초등학교 카페
관악해태어린이공원,관악해태어린이공원 카페
아래방죽마을공원(율현초등학교),아래방죽마을공원 카페
한강로동땡땡거리(은행나무길),한강로동땡땡거리 카페
발산역 5번,발산역 카페
신풍역 1번,신풍역 카페
강남을지병원,강남을지병원 카페
약수역,약수역 카페
의릉,의릉 카페
곰달래도서관,곰달래도서관 카페
목동사거리,목동사거리 카페
양평역,양평역 카페
서울시청,서울시청 카페
성북초등학교앞,성북초등학교앞 카페
홍제역,홍제역 카페
신곡초등학교,신곡초등학교 카페
공덕동주민센터,공덕동주민센터 카페
개봉중앙시장,개봉중앙시장 카페
영등포역 2번,영등포역 카페
영동전통시장,영동전통시장 카페
Sh수협은행 오금동금융센터(아랫말어린이공원),Sh수협은행 오금동금융센터 카페
구로구청,구로구청 카페
고대앞사거리,고대앞사거리 카페
삼양골목시장(삼양시장),삼양골목시장 카페
연신내역 4번,연신내역 카페
신서초등학교,신서초등학교 카페
가산동우체국,가산동우체국 카페
남성사계시장(남성시장),남성사계시장 카페
길동주민센터(강동도서관),길동주민센터 카페
대치2동주민센터,대치2동주민센터 카페
지향초등학교,지향초등학교 카페
굽은다리역 4번,굽은다리역 카페
메가박스 상봉,메가박스 상봉 카페
면목동우체국,면목동우체국 카페
오거리공원,오거리공원 카페
한티역,한티역 카페
도성초등학교,도성초등학교 카페
청담근린공원,청담근린공원 카페
고덕역,고덕역 카페
방학동도깨비시장,방학동도깨비시장 카페
증산역 3번,증산역 카페
경의선책거리,경의선책거리 카페
올림픽대교북단,올림픽대교북단 카페
오금역,오금역 카페
천호역 6번,천호역 카페
남강고등학교(남강중학교),남강고등학교 카페
경기고교사거리(경기고교앞사거리),경기고교사거리 카페
굽은다리역,굽은다리역 카페
미아사거리,미아사거리 카페
창동역,창동역 카페
신방화역 8번,신방화역 카페
문정동 로데오거리 상점가(문정동 로데오거리),문정동 로데오거리 카페
성신여대입구역 4번,성신여대입구역 카페
공릉역 2번,공릉역 카페
방화초등학교,방화초등학교 카페
방화역 1번,방화역 카페
윗방죽마을공원,윗방죽마을공원 카페
수서역,수서역 카페
중림동,중림동 카페
방이시장,방이시장 카페
송파나루역,송파나루역 카페
동대문역사문화공원역,동대문역사문화공원역 카페
보문역 4번,보문역 카페
충정로현대아파트,충정로현대아파트 카페
신길6동주민센터,신길6동주민센터 카페
한남IC,한남IC 카페
중부시장(신중부시장),중부시장 카페
삼각지역 14번,삼각지역 카페
어린이대공원역 3번,어린이대공원역 카페
한성대입구역 5번,한성대입구역 카페
화곡역 5번,화곡역 카페
푸른들청소년도서관,푸른들청소년도서관 카페
명동(명동거리),명동 카페
중부경찰서(영화인의거리),중부경찰서 카페
간데메공원,간데메공원 카페
서대문구보건소별관,서대문구보건소별관 카페
동진시장,동진시장 카페
봉천중앙시장,봉천중앙시장 카페
낙성대역 1번(관악구민 종합체육센터),낙성대역 카페
독립문역 1번,독립문역 카페
강남개포시장,강남개포시장 카페
세종마을음식문화거리(금천교시장),세종마을음식문화거리 카페
상월곡역 1번,상월곡역 카페
삼청동,삼청동 카페
동대부고,동대부고 카페
정릉역 2번,정릉역 카페
노량진중앙시장,노량진중앙시장 카페
서울시립대,서울시립대 카페
양화초등학교,양화초등학교 카페
목2동시장,목2동시장 카페
등촌역 4번,등촌역 카페
강서고등학교,강서고등학교 카페
대림역 2번,대림역 카페
방배역,방배역 카페
르네상스호텔사거리,르네상스호텔사거리 카페
구산보건지소,구산보건지소 카페
불광역 7번,불광역 카페
오류동역,오류동역 카페
문성초등학교,문성초등학교 카페
인사동,인사동 카페
구의1동주민센터,구의1동주민센터 카페
아카데미하우스,아카데미하우스 카페
응암시장(신응암시장),응암시장 카페
발산역(마곡),발산역 카페
면목역 1번,면목역 카페
명동역(명동재미로),명동역 카페
성동초등학교,성동초등학교 카페
강변역(테크노마트),강변역 카페
남가좌파출소,남가좌파출소 카페
양천향교역 5번,양천향교역 카페
신대방1동골목상권,신대방1동골목상권 카페
포스코사거리,포스코사거리 카페
가락시장,가락시장 카페
성내중학교,성내중학교 카페
방학1동주민센터,방학1동주민센터 카페
방학중학교,방학중학교 카페
연가초등학교,연가초등학교 카페
구의역 4번,구의역 카페
신아타운,신아타운 카페
"이화여대 3,5,7길 상점가","이화여대 3,5,7길 카페"
거여역 1번(거여공원),거여역 카페
구로디지털단지역 4번,구로디지털단지역 카페
난우중학교,난우중학교 카페
사당역 4번,사당역 카페
