기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,1분기_평균,2분기_평균,3분기_평균,4분기_평균,3개년_총평균,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_00~06_매출_건수,시간대_06~11_매출_건수,시간대_11~14_매출_건수,시간대_14~17_매출_건수,시간대_17~21_매출_건수,시간대_21~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,QUARTER_NUM
20234,A,골목상권,3110499,연가초등학교,4980568,3514998,14237046,10082526,9410436.8,10082526,871,9052188,1030338,748477,1014353,4365324,1369050,1554984,352329,678009,0,614651,1697100,5440076,1228118,1102581,5484384,4114948,27239,1787462,1460737,1488376,4271822,563696,793,78,119,136,166,171,201,36,42,0,48,342,243,143,95,400,447,6,207,320,187,86,42,4
20234,A,골목상권,3111036,투구봉어린이공원,26317088.5,26231614.5,31381630,24892908.5,27669790.33,28426225,4271,19304899,9121326,3760668,3402410,5049005,3553364,3539452,3245889,5875437,0,1374599,10005491,8418025,8022897,605213,15799567,12626658,792763,4981134,5638836,4542763,6853933,5616796,2880,1391,591,563,710,494,522,585,806,0,140,1445,1398,1169,119,2451,1820,157,851,833,523,1247,660,4
20234,D,발달상권,3120234,가락시장역,940227442,1041231907,1189503913,1087030595,1078387958,989093360,128801,753288124,235805236,126097081,150132239,155536097,157851056,163671651,124178342,111626894,13602764,175584470,300738342,206431311,227949079,64787394,395725146,442617868,12141107,169368554,268713617,160695873,125110806,102313058,106091,22710,18439,21228,21881,22202,22341,12059,10651,1500,37257,39966,23872,19529,6677,57463,61574,1214,25518,37614,23338,17863,13491,4
20234,A,골목상권,3110514,서대문우체국,255711872,255858049,265919385,243100388.5,255045905.7,156834259,19723,112424946,44409313,23731440,19257827,23563082,24754151,21118446,22169767,22239546,1262376,15632670,32555116,36290717,58255874,12837506,46251689,94199127,3622864,84484269,28911766,8763398,12578859,2089657,13379,6344,2737,2410,2840,2869,2523,3186,3158,147,2746,4581,4509,5497,2243,8197,10984,374,10828,4697,1717,1287,280,4
20234,A,골목상권,3110660,등촌3동주민센터,371482944,401469336.5,426469857.7,404962277.5,403915409.9,429319409,73098,280427063,148892346,51034825,52404451,50901431,61894788,64191568,59292533,89599813,0,64533676,160940878,111941888,81842353,10060614,201667093,200616168,14602412,52011716,94545630,100232837,86886330,54004331,49531,23567,9414,9741,9280,10349,10747,10682,12885,0,13402,23603,19995,14429,1669,37472,33989,3506,9513,16950,18431,15105,7954,4
20234,D,발달상권,3120159,서울대입구역,1444205373,1512509932,1734208245,1545633468,1578591365,1638465078,250442,1065073291,573391787,212202889,191712114,211716960,212185101,237256227,300721100,272670687,20845114,142280182,369961815,411576671,524164581,169636715,678242323,845416455,46541175,630718244,404838528,175735734,190283400,75541698,168409,82033,33562,32351,33324,32838,36334,41810,40223,2976,33343,60465,63656,69168,20834,111155,124236,7366,95011,65528,26685,29937,10868,4
20234,D,발달상권,3120079,창동역,539959320.5,600405419,640548469,555949346.5,590474842.1,536407849,94663,368569697,167838152,68030731,72310614,81481674,70557418,76189260,88204753,79633399,581506,72856464,170728169,132077096,135837072,24327542,231485049,275929500,17266642,89451422,108415683,114128900,107655177,70496724,65565,29098,13011,13083,13047,12617,13807,15274,13824,157,16708,28505,23928,21410,3955,43339,49787,3346,17834,19690,20650,20929,10677,4
20234,R,전통시장,3130323,둔촌역전통시장,5139747,5341807,6290027.667,4923080.5,5519928,4086236,542,2652950,1433286,682866,409597,593399,554448,412640,578183,855103,0,0,262312,1780806,1279308,763810,1873923,2063202,0,329869,444897,1089420,1180712,892228,352,190,99,54,67,84,48,86,104,0,0,30,249,172,91,268,267,0,73,72,134,140,116,4
20234,A,골목상권,3110024,혜회동주민센터,97825111,148505298.5,118054524.3,115512526,119761049.3,119779441,10463,69861261,49918180,11089659,14249978,17556342,10673041,16292241,27577228,22340952,62448,2871854,48662372,35748525,24219529,8214713,38067508,73442592,1958176,28930387,26617835,24421218,17668548,11913937,6594,3869,1154,1142,1568,1196,1534,2224,1645,4,495,3913,3493,2146,412,3522,6425,146,2468,2336,2069,1880,1047,4
20234,A,골목상권,3110526,봉원사,55951461.5,75168327.5,47490613.67,77320634.5,62150298.67,83879092,6169,82940757,938335,13426564,15794654,17144443,21321705,15253391,514207,424128,0,1984744,35746926,17379567,28767855,0,7161895,73761066,8401280,58492633,3954501,2103394,6031591,1939564,6071,98,986,1160,1365,1519,1041,46,52,0,170,2562,1316,2121,0,495,5581,596,4423,308,160,443,146,4
