지번주소,category_group_code,category_group_name,카테고리,distance,id,전화번호,가게명,URL,도로명주소,lon,lat,tm_x,tm_y,상권_코드,상권_코드_명,nearest_dist_m
서울 중구 서소문동 136,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,479,26410045,1522-3232,스타벅스 서소문로점,http://place.map.kakao.com/26410045,서울 중구 서소문로 120,126.9744745874965,37.56294278280919,197744.799999987,451490.30000070704,3120020,시청역_1번,132.8951835565891
서울 종로구 세종로 185-2,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,565,7961649,1522-3232,스타벅스 광화문점,http://place.map.kakao.com/7961649,서울 종로구 세종대로 167,126.97629649901215,37.57122962143047,197905.99999998754,452410.0000006931,3120003,광화문역,170.95028482748478
서울 종로구 종로2가 6,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,697,1784996243,1522-3232,스타벅스 종로R점,http://place.map.kakao.com/1784996243,서울 종로구 종로 51,126.98343141859559,37.57078754872737,198536.29999999132,452360.800000696,3120006,종각역,46.153332099107764
서울 종로구 세종로 100,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,680,1227426807,1522-3232,스타벅스 리저브 광화문점,http://place.map.kakao.com/1227426807,서울 종로구 세종대로 178,126.97767941203776,37.57242641251093,198028.1999999992,452542.8000000185,3120003,광화문역,276.8997652607205
서울 중구 남대문로4가 45,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,701,1358426450,1522-3232,스타벅스 대한상공회의소R점,http://place.map.kakao.com/1358426450,서울 중구 세종대로 39,126.973702240748,37.5609378958064,197676.49999995186,451267.80000070774,3120021,시청역_8번,102.8284487653206
서울 중구 회현동2가 88,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,814,589092573,1522-3232,스타벅스 별다방점,http://place.map.kakao.com/589092573,서울 중구 퇴계로 100,126.982729816384,37.5600439705648,198474.09999996758,451168.40000071016,3120027,명동역(명동재미로),98.69837916230047
서울 종로구 적선동 156,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,996,1626917734,1522-3232,스타벅스 정부서울청사R점,http://place.map.kakao.com/1626917734,서울 종로구 새문안로5가길 28,126.973678184351,37.5746240156408,197674.80000000782,452786.8000006893,3120003,광화문역,305.77848257379395
서울 종로구 적선동 66,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,1050,8404389,1522-3232,스타벅스 적선점,http://place.map.kakao.com/8404389,서울 종로구 새문안로5길 55,126.97411605389239,37.57527012561527,197713.49999998632,452858.50000068656,3130002,세종마을음식문화거리(금천교시장),337.3462609197896
서울 중구 장충동1가 48-16,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,2673,375024953,1522-3232,스타벅스 장충라운지R점,http://place.map.kakao.com/375024953,서울 중구 장충단로4길 25,127.007443973952,37.561098264309,200657.7000000315,451285.3000000162,3110048,장충동주민센터,91.99663034380389
서울 용산구 한강로2가 420,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,4446,255305228,1522-3232,스타벅스 용산역써밋R점,http://place.map.kakao.com/255305228,서울 용산구 한강대로 69,126.96564776307117,37.5274384741024,196963.50000000102,447550.00000002026,3120041,신용산역(용산역),267.86050472850224
서울 용산구 한남동 36-7,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,4553,1664906329,1522-3232,스타벅스 한남동R,http://place.map.kakao.com/1664906329,서울 용산구 독서당로 94,127.010961214987,37.5348239645597,200968.80000000782,448369.2000007542,3110099,유엔빌리지길,116.33950346509307
서울 마포구 서교동 353-5,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,5250,1436512690,1522-3232,스타벅스 홍대입구역사거리R점,http://place.map.kakao.com/1436512690,서울 마포구 양화로 125,126.920317785646,37.5546231745866,192959.19999993686,450569.6000007189,3130189,서교시장,174.1838115650494
서울 용산구 이촌동 302-60,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,5078,17884762,1522-3232,스타벅스 동부이촌동점,http://place.map.kakao.com/17884762,서울 용산구 이촌로 198,126.9690443188777,37.52108554442141,197263.4999999829,446844.8000007758,3110071,한강미주맨션아파트,112.35074551419461
서울 마포구 서교동 490,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,5949,288597324,1522-3232,스타벅스 합정폴리스R점,http://place.map.kakao.com/288597324,서울 마포구 양화로 45,126.91340049045,37.5508989849269,192347.5999999534,450156.80000073125,3120101,합정역,158.97232536808067
서울 서초구 반포동 118-3,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,7399,25502514,1522-3232,스타벅스 파미에파크R점,http://place.map.kakao.com/25502514,서울 서초구 사평대로 205,127.004455913484,37.5030694314321,200394.00000002125,444844.8000008114,3120167,고속터미널(고속터미널역),231.36343626347087
서울 강남구 청담동 89-4,CE7,카페,음식점 > 카페 > 커피전문점 > 스타벅스,7259,382182207,1522-3232,스타벅스 청담스타R점,http://place.map.kakao.com/382182207,서울 강남구 도산대로57길 24,127.041816506596,37.5252051860766,203696.4000000387,447302.4000007734,3120202,압구정로데오역(압구정로데오),228.3845873585879
