기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,여가_지출_총금액,문화_지출_총금액,교육_지출_총금액,유흥_지출_총금액
20253,D,발달상권,3120034,중구청(퇴계로4가),4787854,8,890334347,198418580,113917782,70393972,105170180,149975707,39030625,27754839,145159355,40513307
20253,D,발달상권,3120035,퇴계로5가,2792732,6,147272527,35282240,19342944,11568605,18318111,24382648,6831836,4689192,19996046,6860905
20253,D,발달상권,3120036,장충동족발거리(남소영길),2898774,6,220609199,53020767,29191363,16529477,26521815,29686142,8533749,8290800,37934989,10900097
20253,D,발달상권,3120037,동대문역사문화공원역,2458929,6,987302239,275271809,121299062,76154978,133831877,150375379,36172390,33470319,116952567,43773858
20253,D,발달상권,3120038,약수역,2708006,6,1839859102,443030261,228400022,145506301,223600244,324907713,78323383,54815479,263375245,77900454
20253,D,발달상권,3120039,신당역,3403563,7,2153659468,477677806,274306287,189777286,235421299,379108206,112478271,63418505,332839706,88632102
20253,D,발달상권,3120040,용산전자상가(용산역),3440402,7,1251144914,307940712,155152514,105644455,151312015,207936295,60750545,37869905,174050803,50487670
20253,D,발달상권,3120041,신용산역(용산역),4862009,8,1381554281,355945683,171728093,119060010,171574853,232636574,58703549,45199829,166849365,59856325
20253,D,발달상권,3120042,"숙대입구역(남영역, 남영동)",3356953,7,464152006,134057645,60859489,42561846,56294393,71349569,19895477,18245492,38831699,22056396
20253,D,발달상권,3120043,서울역,1768088,4,1001763288,254574573,131652833,84264242,126010829,178741786,50693709,31497433,99622953,44704930
20253,D,발달상권,3120044,삼각지역,3719870,7,844272727,236320259,101347191,66523837,114953127,134637569,30135666,27421047,96956467,35977564
20253,D,발달상권,3120045,남영동 먹자골목,2701519,6,628194848,182692106,77945456,52370243,87423012,99430693,24108824,21589195,54560638,28074681
20253,D,발달상권,3120046,이태원(이태원역),3089376,7,2318782256,587224750,291907757,192629196,282432571,397027137,99898948,74700726,291960365,101000806
20253,D,발달상권,3120047,한남오거리,4328527,8,1478445073,364632384,187101113,123723748,181816926,261671781,68856978,45590564,181701887,63349692
20253,D,발달상권,3120048,금호역,2248137,5,795454623,217689745,95418427,57748651,106798132,126044617,29065948,24561303,104929910,33197890
20253,D,발달상권,3120049,왕십리역(왕십리),2704852,6,584926831,140801845,80943082,41776047,70221386,72628710,20573356,24633330,101332818,32016257
20253,D,발달상권,3120050,서울숲역,2954167,6,599737987,162069004,71736991,46286305,74647127,92530045,21211929,19728180,86334975,25193431
20253,D,발달상권,3120051,뚝섬역,3051848,7,1083444808,283971756,129836719,84032425,134840062,174962236,40315325,34214751,156402050,44869484
20253,D,발달상권,3120052,성수역,2497599,6,1171025573,297129321,142266863,96438381,142054084,188412860,50494405,36468802,170035148,47725709
20253,D,발달상권,3120053,건대입구역(건대),2687385,6,2844459792,655059275,387941675,203113783,332848207,367476969,111556160,110904635,528670987,146888101
20253,D,발달상권,3120054,어린이대공원역,3005076,7,2192283415,503142958,290373454,178435325,243324536,323351823,90609985,80598472,375167933,107278929
20253,D,발달상권,3120055,군자역,2595603,6,2775219959,725263976,339239856,218229291,342905972,460421166,104181337,89822190,375413922,119742249
20253,D,발달상권,3120056,구의역,2980333,6,1755743693,476180458,215804963,142902174,219128381,283714143,65030586,60105709,216106252,76771027
20253,D,발달상권,3120057,아차산역,2684585,6,1926439731,466970931,236770302,148448518,232885286,333003803,80620802,56795510,290284671,80659908
20253,D,발달상권,3120058,구의사거리,2551534,6,939481950,247165768,114526037,73039856,120434812,158308393,33226644,30085180,121335455,41359805
20253,D,발달상권,3120059,구삼강변맛길,4089061,8,1669009924,395718542,207446951,124034985,197433412,288934653,71182338,47964019,265826241,70468783
20253,D,발달상권,3120061,올림픽대교북단,3079045,7,163610360,44568645,20362372,12668261,21278704,26798706,6836159,5361842,18844640,6891031
20253,D,발달상권,3120062,신설동역,2670128,6,1698409250,405193231,218920830,137947490,201700136,257286026,71922285,59078707,267737174,78623371
20253,D,발달상권,3120063,청량리역(청량리),2975676,6,393427714,99036163,50283814,32319545,48560342,66022917,19021722,12313861,48989585,16879765
20253,D,발달상권,3120064,경희대학교(경희대),3046778,7,438651868,95173952,65301686,25940479,52845117,43699176,15748139,19764818,93327970,26850531
20253,D,발달상권,3120065,회기역,2965108,6,762738948,173507849,100959563,59706047,87538298,122205500,38462527,24754914,121864355,33739895
20253,D,발달상권,3120066,장한평역(장한평),2591303,6,2024500674,484570121,260552784,169019619,239812118,356233852,99567482,61560232,266141611,87042855
20253,D,발달상권,3120067,장안동사거리,2585296,6,2706564772,586780575,348398056,230574886,294732452,483218134,147972485,76880958,428230018,109777208
20253,D,발달상권,3120068,사가정역,2505160,6,152232347,41603552,18459381,11577963,19884834,23755641,5734088,4926470,19943593,6346825
20253,D,발달상권,3120069,상봉역,3423056,7,2855149978,702601873,350273383,224725393,350200114,493894186,116514021,84435417,410380717,122124874
20253,D,발달상권,3120070,한성대입구역,2658027,6,270238915,76313498,32216629,21179139,34911252,39702730,8939558,9302660,36123347,11550102
20253,D,발달상권,3120071,성북구청,2746630,6,168850349,45442525,21335185,15140671,18942646,26760520,6077693,6412032,20810612,7928465
20253,D,발달상권,3120072,성신여대,2807496,6,1461874945,335944633,201587598,108781892,165332031,184792491,56413626,59447727,271662967,77911980
20253,D,발달상권,3120073,미아사거리,2407466,5,567243547,125693682,74232536,46500953,64113197,102407025,32401507,15801906,83007189,23085552
20253,D,발달상권,3120074,안암역,2819182,6,201565925,44793402,29340068,12074360,25067090,20366416,7087738,8889260,42134716,11812875
20253,D,발달상권,3120075,월곡역,3136567,7,756618991,195693087,94888344,61698537,89779100,122848933,30756145,24947078,102595577,33412190
20253,D,발달상권,3120076,수유역,2405810,5,2559829007,614578077,322703695,211984652,304682003,443886769,122405736,77119802,355561527,106906746
20253,D,발달상권,3120077,미아역,2150274,5,788646138,226839571,93034300,56375481,110849894,117964570,28954010,24518664,98429712,31679936
20253,D,발달상권,3120078,미아사거리역,2271078,5,248936849,73978474,29210560,18551258,35433199,36441804,8140759,8205827,28709808,10265160
20253,D,발달상권,3120079,창동역,2304593,5,903820639,185736427,117883316,75899061,93041197,161770172,52290841,24859150,156292131,36048344
20253,D,발달상권,3120081,노원역,2584230,6,1763376411,372208605,223362864,142393922,190917474,312762991,94914187,47921372,309753748,69141248
20253,D,발달상권,3120082,상계백병원,2469710,6,57906638,13793841,7175653,4315195,6696750,9418431,2646869,1676066,9905009,2278824
20253,D,발달상권,3120083,등나무근린공원,3869503,8,311855687,113559535,32194501,18924132,53904680,31306160,7964257,11193092,32420097,10389233
20253,D,발달상권,3120084,공릉역,2329997,5,857903262,212760019,108721552,70982629,103786932,148888858,38785395,26786143,109779855,37411879
20253,D,발달상권,3120085,은행사거리,3285046,7,118938481,42727351,12244522,6967714,20014993,12131760,3045876,4214995,13745510,3845760
20253,D,발달상권,3120086,태릉입구역,3241119,7,1543329437,363401827,193204944,121320607,178871184,266861019,69059834,45046234,239935304,65628484
20253,D,발달상권,3120087,응암역,2548843,6,1204338795,288459662,150745393,96841026,141721503,207240847,55155969,36466205,177441674,50266516
20253,D,발달상권,3120088,구산역,3031149,7,852549792,190826939,107830668,64716237,96695070,149221955,41353103,23677986,143555337,34672497
20253,D,발달상권,3120089,구파발역,3829949,8,40188483,10349616,4735669,2577284,4751072,6423966,1392656,1171470,7137130,1649620
