가중치,1위,2위,3위,4위,5위,기준대비일치(Q2)
w=0.1/0.9,잠실 관광특구,대치역,양재역,거여역,굽은다리역,3
w=0.2/0.8,잠실 관광특구,대치역,양재역,거여역,굽은다리역,3
w=0.3/0.7,잠실 관광특구,대치역,양재역,거여역,굽은다리역,3
w=0.4/0.6,잠실 관광특구,대치역,양재역,경기고교사거리(경기고교앞사거리),거여역,4
w=0.5/0.5,잠실 관광특구,대치역,경기고교사거리(경기고교앞사거리),양재역,휘문고교사거리,5
w=0.6/0.4,잠실 관광특구,대치역,경기고교사거리(경기고교앞사거리),휘문고교사거리,홍제역,4
w=0.7/0.3,잠실 관광특구,경기고교사거리(경기고교앞사거리),대치역,휘문고교사거리,홍제역,4
w=0.8/0.2,경기고교사거리(경기고교앞사거리),잠실 관광특구,서초동성당,휘문고교사거리,중구청(퇴계로4가),3
w=0.9/0.1,경기고교사거리(경기고교앞사거리),서초동성당,영등포시장역 4번,동대문역 1번,개웅초등학교(개웅중학교),1
