순위,상권_코드,상권_코드_명,상권_구분_코드_명_x,당월_매출_금액,log_매출,공급갭_지수,찻집_수,카페음료_점포수,총_직장_인구_수,여성_직장_인구_수,총_유동인구_수,여성_유동인구_수,집객시설_수,지하철_노선_수,pct_공급갭,pct_직장인구,pct_유동인구,pct_매출,pct_찻집수_inv,블루오션_점수,당월_매출_억원
23,3111013,송파나루역 1번(송리단길),골목상권,1036414217,20.75903272519958,69.0,0,69.0,4799.0,1786.0,2312441.0,1237693.0,12.0,3,0.9795158286778398,0.845437616387337,0.9273066169617894,85.6,0.5563314711359404,0.7904,10.36
24,3120038,약수역,발달상권,340122968,19.644817783715787,22.0,0,22.0,8665.0,4765.0,978891.0,516340.0,80.0,2,0.8794227188081937,0.904096834264432,0.6095060577819198,69.7,0.5563314711359404,0.7865,3.4
25,3111077,길동주민센터(강동도서관),골목상권,34509562,17.356747031997777,20.0,0,20.0,1820.0,901.0,3629107.0,1997020.0,41.0,1,0.8580074487895717,0.723463687150838,0.9757688723205965,21.6,0.5563314711359404,0.7792,0.35
26,3120106,마포역,발달상권,676894712,20.333026298841155,23.0,0,23.0,14017.0,5603.0,838295.0,446867.0,46.0,1,0.8891992551210428,0.9385474860335196,0.5358807082945014,80.6,0.5563314711359404,0.7785,6.77
27,3120206,개나리아파트,발달상권,638264562,20.27426343090351,19.0,0,19.0,6788.0,2765.0,1229918.0,648861.0,45.0,0,0.8463687150837989,0.8845437616387337,0.6971109040074557,79.9,0.5563314711359404,0.776,6.38
28,3111004,삼전역 1번,골목상권,191492481,19.070359107328702,20.0,0,20.0,2313.0,827.0,2035319.0,1091623.0,38.0,1,0.8580074487895717,0.7616387337057728,0.8946877912395154,58.2,0.5563314711359404,0.7746,1.91
29,3120125,구로역,발달상권,991299727,20.71452749661592,22.0,0,22.0,12431.0,4635.0,760544.0,377855.0,72.0,2,0.8794227188081937,0.9283054003724395,0.49487418452935694,84.9,0.5563314711359404,0.7741,9.91
30,3120132,독산동,발달상권,1149633072,20.862708661452356,17.0,0,17.0,7998.0,2834.0,1041514.0,480209.0,109.0,0,0.8170391061452514,0.8985102420856611,0.6309412861136999,86.7,0.5563314711359404,0.7729,11.5
31,3120027,명동역(명동재미로),발달상권,829417456,20.536234153300413,28.0,0,28.0,10825.0,4264.0,745995.0,393677.0,47.0,1,0.9143389199255121,0.9152700186219739,0.4808946877912395,83.3,0.5563314711359404,0.7725,8.29
32,3110713,구로보건소,골목상권,109723208,18.513471470780612,19.0,0,19.0,2241.0,824.0,2516463.0,1304405.0,32.0,2,0.8463687150837989,0.7560521415270018,0.9412861136999068,44.9,0.5563314711359404,0.772,1.1
33,3120209,"강남구청(청담역_8번, 강남세무서)",발달상권,486742539,20.003245875956353,19.0,0,19.0,8856.0,3527.0,894373.0,486391.0,75.0,1,0.8463687150837989,0.9087523277467412,0.5694315004659832,75.7,0.5563314711359404,0.7708,4.87
34,3120239,오금역,발달상권,629028344,20.259686877242387,22.0,0,22.0,8853.0,3220.0,1153721.0,596938.0,24.0,2,0.8794227188081937,0.9078212290502793,0.6654240447343895,79.5,0.5563314711359404,0.7672,6.29
35,3120120,화곡역,발달상권,1451538137,21.095889615971828,15.0,0,15.0,2475.0,994.0,1876436.0,1023269.0,90.0,1,0.7821229050279329,0.7728119180633147,0.8779123951537745,88.9,0.5563314711359404,0.7661,14.52
36,3110572,서강대역 1번,골목상권,712533975,20.384338154584192,26.0,0,26.0,1405.0,631.0,2135789.0,1082737.0,37.0,1,0.9027001862197392,0.6675977653631285,0.907735321528425,81.8,0.5563314711359404,0.7656,7.13
37,3120201,도곡1동,발달상권,302569312,19.52782094307231,17.0,0,17.0,14638.0,4984.0,1002182.0,510283.0,36.0,0,0.8170391061452514,0.9404096834264432,0.6169617893755824,66.9,0.5563314711359404,0.7637,3.03
38,3120142,대림역,발달상권,594611607,20.203418990705693,18.0,0,18.0,2012.0,868.0,1766724.0,903895.0,56.0,2,0.8328677839851024,0.7383612662942272,0.8546132339235788,78.2,0.5563314711359404,0.763,5.95
39,3120128,신도림역,발달상권,1022521695,20.74553766423803,29.0,0,29.0,8504.0,3006.0,566350.0,306380.0,66.0,2,0.9203910614525139,0.9022346368715084,0.36533084808946875,85.4,0.5563314711359404,0.7591,10.23
40,3120245,둔촌역,발달상권,1038860082,20.76138987493279,18.0,0,18.0,2095.0,870.0,1446627.0,752052.0,82.0,2,0.8328677839851024,0.74487895716946,0.771668219944082,85.8,0.5563314711359404,0.7576,10.39
41,3110226,장안1동주민센터,골목상권,205143695,19.13922124764526,17.0,0,17.0,2047.0,745.0,2874814.0,1532405.0,27.0,0,0.8170391061452514,0.7411545623836127,0.9571295433364398,59.4,0.5563314711359404,0.7556,2.05
42,3120248,명일역,발달상권,555925240,20.136144384541392,16.0,0,16.0,2489.0,1081.0,1397989.0,775961.0,92.0,1,0.8016759776536313,0.7737430167597765,0.7548928238583411,77.5,0.5563314711359404,0.7539,5.56
43,3120044,삼각지역,발달상권,466220557,19.960169380547786,37.0,0,37.0,3985.0,2017.0,812791.0,376538.0,32.0,2,0.9404096834264432,0.8249534450651769,0.5181733457595527,74.6,0.5563314711359404,0.7539,4.66
44,3110069,숙대입구,골목상권,1576566555,21.17851525362882,37.0,0,37.0,1042.0,477.0,2261642.0,1385628.0,29.0,1,0.9404096834264432,0.5968342644320298,0.9179869524697111,89.5,0.5563314711359404,0.7531,15.77
45,3120063,청량리역(청량리),발달상권,608212251,20.226034477693883,26.0,0,26.0,1560.0,666.0,1179303.0,647041.0,82.0,0,0.9027001862197392,0.6908752327746741,0.6766076421248836,78.6,0.5563314711359404,0.7508,6.08
46,3120047,한남오거리,발달상권,710603138,20.381624658935195,22.0,0,22.0,13257.0,3557.0,582389.0,311868.0,48.0,0,0.8794227188081937,0.9329608938547486,0.3727865796831314,81.6,0.5563314711359404,0.7507,7.11
47,3110955,논현초등학교,골목상권,85166818,18.26012246758803,33.0,0,33.0,1873.0,772.0,2344641.0,1230346.0,12.0,1,0.9292364990689013,0.7299813780260708,0.9310344827586207,38.6,0.5563314711359404,0.7471,0.85
48,3120013,이화사거리,발달상권,1148366640,20.861606457548245,20.0,0,20.0,3008.0,1147.0,1226422.0,625490.0,29.0,1,0.8580074487895717,0.797951582867784,0.6952469711090401,86.5,0.5563314711359404,0.7452,11.48
49,3110586,서울서부지방법원,골목상권,316774961,19.573702180690276,17.0,0,17.0,2505.0,1053.0,1848475.0,1003492.0,23.0,1,0.8170391061452514,0.7756052141527002,0.8713886300093197,67.9,0.5563314711359404,0.7444,3.17
50,3110159,구의역 4번,골목상권,138086122,18.743388128174864,12.0,0,12.0,2715.0,566.0,3299967.0,1761034.0,34.0,0,0.7104283054003724,0.7849162011173184,0.9655172413793104,50.8,0.5563314711359404,0.7438,1.38
