상권_코드,상권_코드_명,기준_년분기_코드,상권_구분_코드_명_x,y_log,당월_매출_금액,찻집_수,카페음료_점포수,oof_pred,oof_residual
3001491,이태원 관광특구,20233,관광특구,22.14224378637564,4132894253,0,97.0,20.758542701322476,1.3837010850531648
3001491,이태원 관광특구,20234,관광특구,22.18769346576522,4325066987,0,94.0,20.459046263983993,1.7286472017812287
3001491,이태원 관광특구,20241,관광특구,22.15430621066744,4183048862,0,97.0,20.45998497951381,1.69432123115363
3001491,이태원 관광특구,20242,관광특구,22.19763819516024,4368293188,0,98.0,20.55555996536482,1.6420782297954197
3001491,이태원 관광특구,20243,관광특구,22.122601604786563,4052507266,0,97.0,20.53776502077483,1.5848365840117324
3001491,이태원 관광특구,20244,관광특구,22.19136934382289,4340994662,0,95.0,20.5983611748051,1.5930081690177893
3001491,이태원 관광특구,20251,관광특구,22.118088355982064,4034258504,0,93.0,20.489901015442392,1.6281873405396716
3001491,이태원 관광특구,20252,관광특구,22.182926720217463,4304499552,0,,20.566534900285586,1.6163918199318772
3001491,이태원 관광특구,20253,관광특구,22.166837127785744,4235796096,0,90.0,20.586794773838587,1.5800423539471566
3001493,동대문패션타운 관광특구,20233,관광특구,21.489618086022386,2151902315,0,78.0,22.041822382478685,-0.5522042964562992
3001493,동대문패션타운 관광특구,20234,관광특구,21.290593162397453,1763547358,0,77.0,21.952893307281187,-0.6623001448837336
3001493,동대문패션타운 관광특구,20241,관광특구,21.271744924833804,1730618895,0,77.0,21.955404036777104,-0.6836591119432995
3001493,동대문패션타운 관광특구,20242,관광특구,21.55017137962136,2286233131,0,78.0,22.09624670064298,-0.5460753210216183
3001493,동대문패션타운 관광특구,20243,관광특구,21.55884322949055,2306145214,0,77.0,22.050160491405215,-0.4913172619146664
3001493,동대문패션타운 관광특구,20244,관광특구,21.54241423741104,2268567103,0,79.0,21.925221697933083,-0.3828074605220415
3001493,동대문패션타운 관광특구,20251,관광특구,21.440447901157537,2048652098,0,77.0,21.842751283117455,-0.40230338195991777
3001493,동대문패션타운 관광특구,20252,관광특구,21.565424187507404,2321371907,0,,21.982706173529568,-0.4172819860221644
3001493,동대문패션타운 관광특구,20253,관광특구,21.85735462737163,3108339902,0,74.0,22.01125935529081,-0.15390472791917986
3001494,종로·청계 관광특구,20233,관광특구,22.776918001008934,7796322623,0,113.0,22.801563557087995,-0.024645556079061492
3001494,종로·청계 관광특구,20234,관광특구,22.740331782146445,7516239490,0,117.0,22.694785256953132,0.045546525193312704
3001494,종로·청계 관광특구,20241,관광특구,22.71096465572377,7298718747,0,118.0,22.692305143143706,0.01865951258006504
3001494,종로·청계 관광특구,20242,관광특구,22.88360770048205,8674102510,0,115.0,22.83533725819909,0.04827044228295918
3001494,종로·청계 관광특구,20243,관광특구,22.87135676746312,8568484939,0,117.0,22.789942929262956,0.08141383820016301
3001494,종로·청계 관광특구,20244,관광특구,22.87652235444109,8612860708,0,115.0,22.71008744440592,0.16643491003516786
3001494,종로·청계 관광특구,20251,관광특구,22.749096421716832,7582406160,0,113.0,22.62265106648943,0.1264453552274034
3001494,종로·청계 관광특구,20252,관광특구,22.814295821990687,8093246795,0,,22.766684345232456,0.047611476758230964
3001494,종로·청계 관광특구,20253,관광특구,22.776923499098768,7796365488,0,111.0,22.778837130891777,-0.001913631793009074
3001495,잠실 관광특구,20233,관광특구,22.87918338583299,8635810322,0,120.0,24.170325192567468,-1.2911418067344762
3001495,잠실 관광특구,20234,관광특구,23.081034410477265,10567344870,0,122.0,24.150419833507684,-1.0693854230304183
3001495,잠실 관광특구,20241,관광특구,22.96010079562933,9363648004,0,120.0,24.126488216419226,-1.1663874207898957
3001495,잠실 관광특구,20242,관광특구,23.16808908726761,11528511757,0,119.0,24.281608958367052,-1.1135198710994416
3001495,잠실 관광특구,20243,관광특구,23.127731330315715,11072510369,0,118.0,24.23268475646513,-1.1049534261494145
3001495,잠실 관광특구,20244,관광특구,23.113145451657505,10912180197,0,113.0,24.564667072206284,-1.4515216205487782
3001495,잠실 관광특구,20251,관광특구,23.0020358416405,9764662530,0,115.0,24.48722515162688,-1.4851893099863815
3001495,잠실 관광특구,20252,관광특구,23.177485577640372,11637349854,0,,24.638468608025946,-1.4609830303855738
3001495,잠실 관광특구,20253,관광특구,23.08059038810361,10562653774,0,110.0,24.64813183032797,-1.5675414422243605
3110002,독립문역 1번,20233,골목상권,18.171442775478702,77939447,0,3.0,18.211366110448285,-0.03992333496958267
3110002,독립문역 1번,20234,골목상권,17.76628297319203,51975497,0,2.0,18.10419793849085,-0.33791496529881826
3110002,독립문역 1번,20241,골목상권,17.85096080053337,56568383,0,2.0,18.092936491753072,-0.2419756912197002
3110002,독립문역 1번,20242,골목상권,17.852931461142305,56679970,0,2.0,18.244134063032373,-0.3912026018900683
3110002,독립문역 1번,20243,골목상권,17.8697211181117,57639641,0,2.0,18.192333948322013,-0.32261283021031417
3110002,독립문역 1번,20244,골목상권,17.779928783436834,52689606,0,2.0,18.13131839754491,-0.3513896141080757
3110002,독립문역 1번,20251,골목상권,17.764975753603284,51907598,0,2.0,18.032214878061477,-0.2672391244581931
3110002,독립문역 1번,20252,골목상권,17.865680167027552,57407192,0,,18.18066522707368,-0.31498506004612636
3110002,독립문역 1번,20253,골목상권,17.955689268850097,62814045,0,2.0,18.193556842095628,-0.23786757324553065
3110003,세검정초등학교,20233,골목상권,17.045343256456416,25275427,0,4.0,18.296172741327805,-1.2508294848713888
3110003,세검정초등학교,20234,골목상권,17.225842029855077,30275277,0,4.0,18.180136141261176,-0.9542941114060994
3110003,세검정초등학교,20241,골목상권,17.056693792110114,25563951,0,4.0,18.176443312178314,-1.1197495200682006
3110003,세검정초등학교,20242,골목상권,17.396296180981523,35901734,0,4.0,18.331188974612278,-0.9348927936307554
3110003,세검정초등학교,20243,골목상권,17.18584590187561,29088279,0,4.0,18.285204544971595,-1.0993586430959859
3110003,세검정초등학교,20244,골목상권,17.23586356027332,30580207,0,4.0,18.19479178568079,-0.9589282254074689
3110003,세검정초등학교,20251,골목상권,17.07966987246592,26158110,0,4.0,18.125734208673205,-1.0460643362072837
3110003,세검정초등학교,20252,골목상권,17.680777811402468,47716022,0,5.0,18.26905135900595,-0.5882735476034817
3110003,세검정초등학교,20253,골목상권,17.734999245704866,50374680,0,6.0,18.28108914918742,-0.546089903482553
3110005,세검정,20233,골목상권,17.41447334609338,36560293,0,2.0,18.295736685975424,-0.8812633398820431
3110005,세검정,20234,골목상권,16.90848205860481,22042479,0,2.0,18.178909316524873,-1.270427257920062
3110005,세검정,20241,골목상권,16.763111375353073,19060169,0,2.0,18.185175224531097,-1.4220638491780235
3110005,세검정,20242,골목상권,17.28005916245423,31962028,0,2.0,18.330231207145175,-1.050172044690946
3110005,세검정,20243,골목상권,17.519816903319278,40621859,0,2.0,18.288162485165753,-0.7683455818464751
3110006,부암동주민센터,20233,골목상권,18.47117640531525,105179229,0,5.0,18.212140140618025,0.25903626469722596
3110006,부암동주민센터,20234,골목상권,18.18721205893017,79178238,0,4.0,18.114783728768362,0.07242833016180938
3110006,부암동주민센터,20241,골목상권,17.755655489161025,51426053,0,4.0,18.112373810547556,-0.3567183213865306
3110006,부암동주민센터,20242,골목상권,17.707256873746438,48996374,0,3.0,18.27078094006892,-0.5635240663224828
3110006,부암동주민센터,20243,골목상권,17.758660824279755,51580838,0,3.0,18.223077890924237,-0.4644170666444829
3110006,부암동주민센터,20244,골목상권,17.934770423426496,61513696,0,3.0,18.14073746654596,-0.20596704311946468
3110006,부암동주민센터,20251,골목상권,17.86263513264417,57232651,0,3.0,18.05413631796814,-0.19150118532397187
3110006,부암동주민센터,20252,골목상권,17.956896406754147,62889916,0,,18.212481950654837,-0.25558554390068977
3110006,부암동주민센터,20253,골목상권,17.752311538192995,51254374,0,3.0,18.212873872037314,-0.46056233384431877
3110007,사직공원(한국사회과학도서관),20233,골목상권,15.523158623032009,5515972,0,7.0,17.83463586695855,-2.311477243926541
3110007,사직공원(한국사회과학도서관),20234,골목상권,13.798552580811643,983184,0,7.0,17.783370698960127,-3.9848181181484836
3110007,사직공원(한국사회과학도서관),20241,골목상권,14.623581579465148,2243575,0,10.0,17.745184464132286,-3.121602884667139
3110007,사직공원(한국사회과학도서관),20242,골목상권,14.101306602983922,1330820,0,8.0,17.91612762226529,-3.814821019281368
3110007,사직공원(한국사회과학도서관),20243,골목상권,15.487706156790614,5323843,0,8.0,17.848561142930805,-2.3608549861401915
3110007,사직공원(한국사회과학도서관),20244,골목상권,14.813533523305283,2712912,0,8.0,17.785732316590963,-2.9721987932856795
3110008,배화여자대학교(박노수미술관),20233,골목상권,21.4720936293513,2114519906,1,49.0,18.20053480257747,3.2715588267738305
3110008,배화여자대학교(박노수미술관),20234,골목상권,21.509509386365803,2195135002,1,47.0,18.10158942797675,3.4079199583890514
3110008,배화여자대학교(박노수미술관),20241,골목상권,21.360326987868635,1890915589,1,49.0,18.082647337486065,3.27767965038257
3110008,배화여자대학교(박노수미술관),20242,골목상권,21.5577219036164,2303560723,1,50.0,18.250254398631625,3.307467504984775
3110008,배화여자대학교(박노수미술관),20243,골목상권,21.471951035519364,2114218410,1,48.0,18.188633998950777,3.2833170365685866
3110008,배화여자대학교(박노수미술관),20244,골목상권,21.522681392285357,2224240602,1,46.0,18.11675854833196,3.405922843953398
3110008,배화여자대학교(박노수미술관),20251,골목상권,21.35156027900768,1874410934,1,45.0,18.037789922097407,3.313770356910272
3110008,배화여자대학교(박노수미술관),20252,골목상권,21.57864710056424,2352271044,1,,18.181962430921274,3.3966846696429656
3110008,배화여자대학교(박노수미술관),20253,골목상권,21.407114016501843,1981488201,1,47.0,18.190449447346037,3.2166645691558067
3110009,자하문터널,20233,골목상권,19.84854635403129,416978972,0,14.0,17.98753376127598,1.8610125927553085
3110009,자하문터널,20234,골목상권,19.02471961777416,182949298,0,14.0,17.887308263528702,1.137411354245458
3110009,자하문터널,20241,골목상권,18.93681881166676,167554429,0,15.0,17.878431712386522,1.0583870992802389
3110009,자하문터널,20242,골목상권,19.5719936299592,316234197,0,16.0,18.030477870233106,1.5415157597260922
3110009,자하문터널,20243,골목상권,19.695194435370592,357696147,0,14.0,17.986495442107568,1.7086989932630239
3110009,자하문터널,20244,골목상권,19.076386931916463,192650250,0,14.0,17.9004317422105,1.175955189705963
3110009,자하문터널,20251,골목상권,18.69673010045949,131791290,0,14.0,17.828979650824913,0.8677504496345776
3110009,자하문터널,20252,골목상권,19.667884594861064,348059706,0,,17.983047360272845,1.684837234588219
3110009,자하문터널,20253,골목상권,19.73493473127084,372197330,0,14.0,17.984214972485155,1.750719758785685
3110010,평창동서측,20233,골목상권,18.594922253239048,119034300,0,7.0,18.87835933837709,-0.28343708513804344
3110010,평창동서측,20234,골목상권,18.69618451348842,131719406,0,7.0,18.73026725966627,-0.034082746177851675
3110010,평창동서측,20241,골목상권,16.564929036347138,15633537,0,7.0,18.73653316767249,-2.1716041313253527
3110010,평창동서측,20242,골목상권,19.04492593460979,186683631,0,7.0,18.881589150286572,0.1633367843232172
3110010,평창동서측,20243,골목상권,19.0391796394928,185613968,0,6.0,18.83952042830715,0.19965921118565078
3110010,평창동서측,20244,골목상권,18.467821749006134,104826980,0,6.0,18.790620455062818,-0.3227987060566839
3110010,평창동서측,20251,골목상권,18.80049293836194,146200998,0,6.0,18.698344705056318,0.10214823330562339
3110010,평창동서측,20252,골목상권,18.810850898321355,147723212,0,,18.851387884605867,-0.0405369862845113
3110010,평창동서측,20253,골목상권,19.039770524925927,185723677,0,6.0,18.858137910962597,0.1816326139633304
3110012,성곡미술관,20233,골목상권,19.88278820516871,431504373,0,10.0,19.146976395036422,0.7358118101322866
3110012,성곡미술관,20234,골목상권,19.963870944213728,467949500,0,9.0,19.134212000325583,0.8296589438881448
3110012,성곡미술관,20241,골목상권,19.872028524095903,426886412,0,11.0,19.07398596321418,0.7980425608817221
3110012,성곡미술관,20242,골목상권,20.09664751174413,534395901,0,12.0,19.222703526713197,0.8739439850309338
3110012,성곡미술관,20243,골목상권,19.820676505719668,405518277,0,12.0,19.144918040818357,0.6757584649013104
3110012,성곡미술관,20244,골목상권,20.059418939778,514866879,0,12.0,19.08723556147345,0.9721833783045497
3110012,성곡미술관,20251,골목상권,19.93249103578934,453493291,0,12.0,18.965545193213472,0.9669458425758677
3110012,성곡미술관,20252,골목상권,20.124075531796432,549256185,0,,19.12271290940506,1.0013626223913725
3110012,성곡미술관,20253,골목상권,19.88770200248076,433629916,0,12.0,19.158995499572892,0.728706502907869
3110014,경복고등학교,20233,골목상권,16.90542592185036,21975217,0,8.0,19.086121382309827,-2.180695460459468
3110014,경복고등학교,20234,골목상권,16.89224629290473,21687492,0,8.0,19.13376934958895,-2.241523056684219
3110014,경복고등학교,20241,골목상권,16.67742408332537,17494971,0,8.0,19.039728763309963,-2.362304679984593
3110014,경복고등학교,20242,골목상권,16.75487293612768,18903788,0,7.0,19.188365374727148,-2.433492438599469
3110014,경복고등학교,20243,골목상권,16.622270728787623,16556191,0,7.0,19.08911824854984,-2.4668475197622186
3110014,경복고등학교,20244,골목상권,16.70747643346842,18028716,0,7.0,19.047929580479504,-2.340453147011086
3110014,경복고등학교,20251,골목상권,16.547091265779002,15357142,0,7.0,18.876019672812884,-2.3289284070338816
3110014,경복고등학교,20252,골목상권,16.743367870650612,18687545,0,,19.056814705540507,-2.313446834889895
3110014,경복고등학교,20253,골목상권,16.58676595421989,15978680,0,7.0,19.09650330399402,-2.509737349774131
3110016,평창동동측,20233,골목상권,18.17213868909037,77993705,0,6.0,18.98579204753888,-0.8136533584485086
3110016,평창동동측,20234,골목상권,18.116108539569176,73743877,0,6.0,18.84013579933196,-0.724027259762785
3110016,평창동동측,20241,골목상권,18.13158893161743,74894343,0,7.0,18.826862213076772,-0.6952732814593432
3110016,평창동동측,20242,골목상권,18.269386847962917,85959502,0,7.0,18.997462503888546,-0.728075655925629
3110016,평창동동측,20243,골목상권,18.290246014570386,87771377,0,6.0,18.942890460647163,-0.6526444460767777
3110016,평창동동측,20244,골목상권,18.066235996988866,70156287,0,5.0,18.89826468801024,-0.8320286910213746
3110016,평창동동측,20251,골목상권,17.81937559064766,54809581,0,5.0,18.82173761920071,-1.0023620285530512
3110016,평창동동측,20252,골목상권,18.25292956182776,84556419,0,,18.96754461294648,-0.7146150511187201
3110016,평창동동측,20253,골목상권,18.100231441755703,72582284,0,6.0,18.976392566931484,-0.8761611251757806
3110017,정독도서관,20233,골목상권,18.61278729615016,121179962,2,3.0,18.205304008816707,0.4074832873334522
3110017,정독도서관,20234,골목상권,18.70970243621272,133512068,2,4.0,18.185140909368815,0.5245615268439039
3110017,정독도서관,20241,골목상권,18.603244829667137,120029106,2,6.0,18.118163262083858,0.48508156758327914
3110017,정독도서관,20242,골목상권,18.48532076618853,106677493,2,6.0,18.26401413811306,0.22130662807547097
3110017,정독도서관,20243,골목상권,17.676867440712623,47529799,2,6.0,18.187348685420222,-0.5104812447075986
3110017,정독도서관,20244,골목상권,17.850364813124976,56534679,2,5.0,18.135691615519825,-0.28532680239484876
3110017,정독도서관,20251,골목상권,17.668249267937163,47121939,2,3.0,18.010147018658973,-0.3418977507218095
3110017,정독도서관,20252,골목상권,18.05653245831691,69478815,2,5.0,18.178449424609365,-0.12191696629245641
3110017,정독도서관,20253,골목상권,18.12202010699633,74181110,2,5.0,18.20453424042807,-0.08251413343174008
3110018,중앙고등학교,20233,골목상권,19.31333360979538,244159829,4,20.0,18.669798883438315,0.6435347263570641
3110018,중앙고등학교,20234,골목상권,19.32451303473281,246904710,4,19.0,18.557528057609286,0.7669849771235242
