상권_코드,상권명,상권유형,평균매출_억원,n분기,r_원매출,p_원매출,r_로그매출,p_로그매출,유의_원매출,유의_로그매출
3130285,서원동상점가,전통시장,22.63,9,0.7374,0.0234,0.7335,0.0245,*,*
3120235,문정역,발달상권,22.56,9,0.2575,0.5036,0.2487,0.5187,,
3001493,동대문패션타운 관광특구,관광특구,22.21,9,-0.4804,0.1906,-0.5016,0.1689,,
3110954,국기원,골목상권,21.65,9,0.1782,0.6465,0.1583,0.6842,,
3120156,"총신대입구역(이수, 총신대)",발달상권,21.6,9,0.6825,0.0428,0.6844,0.042,*,*
3120229,방이동먹자골목,발달상권,21.53,9,-0.1021,0.7937,-0.0889,0.82,,
3110008,배화여자대학교(박노수미술관),골목상권,21.17,9,0.2697,0.4828,0.2801,0.4654,,
3120194,언주역(차병원),발달상권,20.91,9,-0.6149,0.078,-0.6265,0.071,,
3120175,남부터미널역,발달상권,20.88,9,-0.4699,0.2019,-0.4658,0.2064,,
3120102,서교동(홍대),발달상권,19.84,9,-0.6447,0.0609,-0.6613,0.0524,,
3120114,목동신시가지,발달상권,19.35,9,0.6319,0.0679,0.6226,0.0733,,
3120202,압구정로데오역(압구정로데오),발달상권,19.28,9,0.845,0.0041,0.8464,0.004,**,**
3120153,노량진역(노량진),발달상권,19.07,9,-0.2327,0.5468,-0.2323,0.5476,,
3110566,경의선책거리,골목상권,18.79,9,-0.2644,0.4918,-0.2556,0.5068,,
3120023,서울시청,발달상권,18.77,9,0.747,0.0207,0.7379,0.0232,*,*
3120022,북창동(시청역_6번),발달상권,18.58,9,0.0269,0.9453,0.0376,0.9236,,
3120030,중부경찰서(영화인의거리),발달상권,18.21,9,0.2075,0.5922,0.2016,0.6029,,
3130183,상암동상점가,전통시장,18.09,9,0.7127,0.0312,0.7037,0.0344,*,*
3120249,고덕역,발달상권,17.89,9,0.3108,0.4157,0.3127,0.4126,,
3120236,장지역(가든파이브),발달상권,17.4,9,-0.5018,0.1687,-0.5108,0.1599,,
3130179,"이화여대 3,5,7길 상점가",전통시장,17.35,9,-0.263,0.4942,-0.2761,0.472,,
3120171,서초3동사거리,발달상권,17.16,9,-0.0041,0.9917,-0.0018,0.9964,,
3120208,청담사거리(청담동명품거리),발달상권,17.16,9,-0.0232,0.9528,-0.0989,0.8001,,
3120219,은마아파트,발달상권,17.15,9,-0.6438,0.0613,-0.6424,0.0621,,
3130195,도화동 상점가,전통시장,17.1,9,-0.3917,0.2972,-0.3948,0.293,,
3120246,길동역,발달상권,16.48,9,-0.283,0.4605,-0.2593,0.5004,,
