상권_코드,상권_코드_명,기준_년분기_코드,상권_구분_코드_명_x,y_log,당월_매출_금액,집객시설_수,총_직장_인구_수,월_평균_소득_금액,총_가구_수,카페_검색지수,지하철_노선_수,집객시설_수_scaled,총_직장_인구_수_scaled,월_평균_소득_금액_scaled,총_가구_수_scaled,카페_검색지수_scaled,지하철_노선_수_scaled,Q_20234,Q_20241,Q_20242,Q_20243,Q_20244,Q_20251,Q_20252,Q_20253,TYPE_관광특구,TYPE_발달상권,TYPE_전통시장,찻집_수,카페음료_점포수
3001491,이태원 관광특구,20233,관광특구,22.142243786375637,4132894253,66.0,34657.0,3036321.0,3300.0,6.700073333333333,0,1.172002604775765,2.7431917784221063,0.2521061204773719,1.1824186799116885,1.4071043547239468,-0.8664303147889086,0,0,0,0,0,0,0,0,1,0,0,0,97.0
3001491,이태원 관광특구,20234,관광특구,22.18769346576522,4325066987,66.0,28395.0,3036321.0,2533.0,6.405046666666666,0,1.172002604775765,2.188168387852422,0.2521061204773719,0.6293169044459064,1.313255961871352,-0.8664303147889086,1,0,0,0,0,0,0,0,1,0,0,0,94.0
3001491,이태원 관광특구,20241,관광특구,22.154306210667436,4183048862,66.0,28395.0,3036321.0,2533.0,6.684583333333333,0,1.172002604775765,2.188168387852422,0.2521061204773719,0.6293169044459064,1.4021769641876562,-0.8664303147889086,0,1,0,0,0,0,0,0,1,0,0,0,97.0
3001491,이태원 관광특구,20242,관광특구,22.19763819516024,4368293188,66.0,28395.0,3036321.0,2533.0,5.597406666666667,0,1.172002604775765,2.188168387852422,0.2521061204773719,0.6293169044459064,1.0563445549811177,-0.8664303147889086,0,0,1,0,0,0,0,0,1,0,0,0,98.0
3001491,이태원 관광특구,20243,관광특구,22.122601604786563,4052507266,66.0,28395.0,3036321.0,2533.0,6.145053333333333,0,1.172002604775765,2.188168387852422,0.2521061204773719,0.6293169044459064,1.2305517210601635,-0.8664303147889086,0,0,0,1,0,0,0,0,1,0,0,0,97.0
3001491,이태원 관광특구,20244,관광특구,22.191369343822892,4340994662,66.0,35826.0,3036321.0,2533.0,6.74027,0,1.172002604775765,2.8468044171279447,0.2521061204773719,0.6293169044459064,1.4198909702774496,-0.8664303147889086,0,0,0,0,1,0,0,0,1,0,0,0,95.0
3001491,이태원 관광특구,20251,관광특구,22.118088355982064,4034258504,66.0,35826.0,3036321.0,2533.0,6.09121,0,1.172002604775765,2.8468044171279447,0.2521061204773719,0.6293169044459064,1.2134240818665545,-0.8664303147889086,0,0,0,0,0,1,0,0,1,0,0,0,93.0
3001491,이태원 관광특구,20252,관광특구,22.182926720217463,4304499552,66.0,35826.0,3036321.0,2533.0,5.078156666666668,0,1.172002604775765,2.8468044171279447,0.2521061204773719,0.6293169044459064,0.8911704080496211,-0.8664303147889086,0,0,0,0,0,0,1,0,1,0,0,0,
3001491,이태원 관광특구,20253,관광특구,22.166837127785744,4235796096,66.0,35826.0,3036321.0,2533.0,5.07484,0,1.172002604775765,2.8468044171279447,0.2521061204773719,0.6293169044459064,0.8901153717716758,-0.8664303147889086,0,0,0,0,0,0,0,1,1,0,0,0,90.0
3001493,동대문패션타운 관광특구,20233,관광특구,21.489618086022382,2151902315,144.0,34557.0,3624671.0,1704.0,1.8225266666666664,5,3.5212284873179174,2.7343284218176716,1.0875108697437965,0.03150546786033474,-0.1444500213670186,4.168536593079814,0,0,0,0,0,0,0,0,1,0,0,0,78.0
3001493,동대문패션타운 관광특구,20234,관광특구,21.290593162397453,1763547358,144.0,33474.0,3624671.0,1893.0,1.6219099999999995,5,3.5212284873179174,2.638338269791647,1.0875108697437965,0.16779782191904768,-0.20826646195807724,4.168536593079814,1,0,0,0,0,0,0,0,1,0,0,0,77.0
3001493,동대문패션타운 관광특구,20241,관광특구,21.271744924833804,1730618895,144.0,33474.0,3624671.0,1893.0,1.8748933333333333,5,3.5212284873179174,2.638338269791647,1.0875108697437965,0.16779782191904768,-0.1277921118931375,4.168536593079814,0,1,0,0,0,0,0,0,1,0,0,0,77.0
3001493,동대문패션타운 관광특구,20242,관광특구,21.550171379621357,2286233131,144.0,33474.0,3624671.0,1893.0,1.59204,5,3.5212284873179174,2.638338269791647,1.0875108697437965,0.16779782191904768,-0.21776815048738637,4.168536593079814,0,0,1,0,0,0,0,0,1,0,0,0,78.0
3001493,동대문패션타운 관광특구,20243,관광특구,21.55884322949055,2306145214,144.0,33474.0,3624671.0,1893.0,1.6871866666666666,5,3.5212284873179174,2.638338269791647,1.0875108697437965,0.16779782191904768,-0.18750186353497003,4.168536593079814,0,0,0,1,0,0,0,0,1,0,0,0,77.0
3001493,동대문패션타운 관광특구,20244,관광특구,21.54241423741104,2268567103,144.0,33754.0,3624671.0,1893.0,1.0930733333333331,5,3.5212284873179174,2.663155668284063,1.0875108697437965,0.16779782191904768,-0.37649014088492,4.168536593079814,0,0,0,0,1,0,0,0,1,0,0,0,79.0
3001493,동대문패션타운 관광특구,20251,관광특구,21.440447901157537,2048652098,144.0,33754.0,3624671.0,1893.0,1.14212,5,3.5212284873179174,2.663155668284063,1.0875108697437965,0.16779782191904768,-0.3608883280269514,4.168536593079814,0,0,0,0,0,1,0,0,1,0,0,0,77.0
3001493,동대문패션타운 관광특구,20252,관광특구,21.565424187507404,2321371907,144.0,33754.0,3624671.0,1893.0,1.049923333333333,5,3.5212284873179174,2.663155668284063,1.0875108697437965,0.16779782191904768,-0.3902162158778793,4.168536593079814,0,0,0,0,0,0,1,0,1,0,0,0,
3001493,동대문패션타운 관광특구,20253,관광특구,21.85735462737163,3108339902,144.0,33754.0,3624671.0,1893.0,1.1989133333333333,5,3.5212284873179174,2.663155668284063,1.0875108697437965,0.16779782191904768,-0.3428222897318537,4.168536593079814,0,0,0,0,0,0,0,1,1,0,0,0,74.0
3001494,종로·청계 관광특구,20233,관광특구,22.776918001008934,7796322623,246.0,47996.0,2268084.0,1475.0,0.7453099999999999,6,6.593293102949963,3.925474915887616,-0.8387221932171811,-0.13363182885630687,-0.4871141407258197,5.175529974653559,0,0,0,0,0,0,0,0,1,0,0,0,113.0
3001494,종로·청계 관광특구,20234,관광특구,22.740331782146445,7516239490,246.0,47296.0,2268084.0,1511.0,0.6833533333333333,6,6.593293102949963,3.8634314196565747,-0.8387221932171811,-0.10767138046417107,-0.5068226425330143,5.175529974653559,1,0,0,0,0,0,0,0,1,0,0,0,117.0
3001494,종로·청계 관광특구,20241,관광특구,22.710964655723775,7298718747,246.0,47296.0,2268084.0,1511.0,0.70253,6,6.593293102949963,3.8634314196565747,-0.8387221932171811,-0.10767138046417107,-0.500722518204355,5.175529974653559,0,1,0,0,0,0,0,0,1,0,0,0,118.0
3001494,종로·청계 관광특구,20242,관광특구,22.88360770048205,8674102510,246.0,47296.0,2268084.0,1511.0,0.5575966666666666,6,6.593293102949963,3.8634314196565747,-0.8387221932171811,-0.10767138046417107,-0.5468260130435878,5.175529974653559,0,0,1,0,0,0,0,0,1,0,0,0,115.0
3001494,종로·청계 관광특구,20243,관광특구,22.87135676746312,8568484939,246.0,47296.0,2268084.0,1511.0,0.56645,6,6.593293102949963,3.8634314196565747,-0.8387221932171811,-0.10767138046417107,-0.5440097554011544,5.175529974653559,0,0,0,1,0,0,0,0,1,0,0,0,117.0
3001494,종로·청계 관광특구,20244,관광특구,22.87652235444109,8612860708,246.0,46516.0,2268084.0,1511.0,0.5240366666666667,6,6.593293102949963,3.7942972381419864,-0.8387221932171811,-0.10767138046417107,-0.5575014957032335,5.175529974653559,0,0,0,0,1,0,0,0,1,0,0,0,115.0
3001494,종로·청계 관광특구,20251,관광특구,22.749096421716832,7582406160,246.0,46516.0,2268084.0,1511.0,0.6320899999999999,6,6.593293102949963,3.7942972381419864,-0.8387221932171811,-0.10767138046417107,-0.523129580139559,5.175529974653559,0,0,0,0,0,1,0,0,1,0,0,0,113.0
3001494,종로·청계 관광특구,20252,관광특구,22.814295821990687,8093246795,246.0,46516.0,2268084.0,1511.0,0.5398933333333334,6,6.593293102949963,3.7942972381419864,-0.8387221932171811,-0.10767138046417107,-0.5524574679904867,5.175529974653559,0,0,0,0,0,0,1,0,1,0,0,0,
3001494,종로·청계 관광특구,20253,관광특구,22.776923499098768,7796365488,246.0,46516.0,2268084.0,1511.0,0.5129766666666667,6,6.593293102949963,3.7942972381419864,-0.8387221932171811,-0.10767138046417107,-0.5610196970803396,5.175529974653559,0,0,0,0,0,0,0,1,1,0,0,0,111.0
3001495,잠실 관광특구,20233,관광특구,22.87918338583299,8635810322,158.0,117682.0,4220819.0,6271.0,0.3532933333333333,2,3.942884414953688,10.101993599253797,1.9339880864781902,3.3248767958293404,-0.6118151874270151,1.1475564483585805,0,0,0,0,0,0,0,0,1,0,0,0,120.0
3001495,잠실 관광특구,20234,관광특구,23.081034410477265,10567344870,158.0,111557.0,4220819.0,7648.0,0.3344833333333333,2,3.942884414953688,9.559113007232188,1.9339880864781902,4.317863946828535,-0.6177986745792182,1.1475564483585805,1,0,0,0,0,0,0,0,1,0,0,0,122.0
3001495,잠실 관광특구,20241,관광특구,22.96010079562933,9363648004,158.0,111557.0,4220819.0,7648.0,0.2931766666666667,2,3.942884414953688,9.559113007232188,1.9339880864781902,4.317863946828535,-0.6309383826759931,1.1475564483585805,0,1,0,0,0,0,0,0,1,0,0,0,120.0
3001495,잠실 관광특구,20242,관광특구,23.16808908726761,11528511757,158.0,111557.0,4220819.0,7648.0,0.24044,2,3.942884414953688,9.559113007232188,1.9339880864781902,4.317863946828535,-0.6477139896642982,1.1475564483585805,0,0,1,0,0,0,0,0,1,0,0,0,119.0
3001495,잠실 관광특구,20243,관광특구,23.127731330315715,11072510369,158.0,111557.0,4220819.0,7648.0,0.23897,2,3.942884414953688,9.559113007232188,1.9339880864781902,4.317863946828535,-0.6481815987080907,1.1475564483585805,0,0,0,1,0,0,0,0,1,0,0,0,118.0
3001495,잠실 관광특구,20244,관광특구,23.113145451657502,10912180197,158.0,137602.0,4220819.0,7648.0,0.2681,2,3.942884414953688,11.867574234857136,1.9339880864781902,4.317863946828535,-0.6389153052076294,1.1475564483585805,0,0,0,0,1,0,0,0,1,0,0,0,113.0
3001495,잠실 관광특구,20251,관광특구,23.0020358416405,9764662530,158.0,137602.0,4220819.0,7648.0,0.17775,2,3.942884414953688,11.867574234857136,1.9339880864781902,4.317863946828535,-0.6676557658244051,1.1475564483585805,0,0,0,0,0,1,0,0,1,0,0,0,115.0
3001495,잠실 관광특구,20252,관광특구,23.177485577640375,11637349854,158.0,137602.0,4220819.0,7648.0,0.2286399999999999,2,3.942884414953688,11.867574234857136,1.9339880864781902,4.317863946828535,-0.6514675860702522,1.1475564483585805,0,0,0,0,0,0,1,0,1,0,0,0,
3001495,잠실 관광특구,20253,관광특구,23.08059038810361,10562653774,158.0,137602.0,4220819.0,7648.0,0.22606,2,3.942884414953688,11.867574234857136,1.9339880864781902,4.317863946828535,-0.6522882876573168,1.1475564483585805,0,0,0,0,0,0,0,1,1,0,0,0,110.0
3110002,독립문역 1번,20233,골목상권,18.171442775478702,77939447,18.0,470.0,3463885.0,343.0,0.7213366666666667,1,-0.2736748614040214,-0.28692394393589477,0.8592090289763089,-0.9499437060756881,-0.49474009139011965,0.14056306678483596,0,0,0,0,0,0,0,0,0,0,0,0,3.0
3110002,독립문역 1번,20234,골목상권,17.76628297319203,51975497,18.0,403.0,3463885.0,185.0,0.8861866666666667,1,-0.2736748614040214,-0.29286239286086585,0.8592090289763089,-1.0638812295745064,-0.4423010771933796,0.14056306678483596,1,0,0,0,0,0,0,0,0,0,0,0,2.0
3110002,독립문역 1번,20241,골목상권,17.85096080053337,56568383,18.0,403.0,3463885.0,185.0,0.7213366666666666,1,-0.2736748614040214,-0.29286239286086585,0.8592090289763089,-1.0638812295745064,-0.49474009139011965,0.14056306678483596,0,1,0,0,0,0,0,0,0,0,0,0,2.0
