상권_코드,상권_코드_명,스타벅스_리저브_수
3110495,북가좌2동주민센터,0
3110560,마포FM,0
3110561,상수역 4번,0
3111078,굽은다리역 4번,0
3110485,연신내우체국,0
3110486,은평구청,0
3110487,불광역 8번,0
3110521,홍제역 4번,0
3110522,홍제역 3번,0
3110523,홍제성원아파트,0
3110524,연희세브란스병원,0
3110496,모래내우체국,0
3110546,양화대교북단,0
3110547,KB국민은행 망원동지점,0
3110458,선일여고,0
3110459,응암역 2번,0
3110460,구산역 4번,0
3110536,돈의문센트레빌아파트입구,0
3110537,충정로현대아파트,0
3110538,충정로역 3번,0
3110539,미근동,0
3110525,홍은종합사회복지관,0
3110569,홍대땡땡거리,0
3110570,KB국민은행 서강지점,0
3110548,마포구청역 4번,0
3110400,도봉구보건소,0
3110401,도봉구민회관,0
3110414,장석교회,0
3110415,수락산역 4번,0
3110461,새절역 2번,0
3110588,한겨레신문사,0
3110589,애오개역 3번,0
3110571,신수동주민센터,0
3110572,서강대역 1번,0
3110424,상계초등학교,0
3110402,도봉구 정병원,0
3110403,방학1동주민센터,0
3110404,신창초등학교,0
3110450,시립서북병원,0
3111084,길동신동아아파트,0
3111085,묘곡초등학교(고덕아이파크아파트),0
3111086,한영중고,0
3111087,고덕중학교(고덕2동주민센터),0
3111088,고덕동성당,0
3110439,당고개역 5번,0
3110440,상계3동4동주민센터,0
3110441,영신여고,0
3110442,화랑대철도공원,0
3110425,계상초등학교,0
3110474,세명컴퓨터고등학교,0
3110451,증산역 4번,0
3110497,가좌역 3번,0
3110509,연희대우아파트앞,0
3110510,홍연시장,0
3110556,절두산순교성지,0
3110488,우리은행응암동지점,0
3110489,불광역 3번,0
3110490,녹번동근린공원,0
3110475,백련산해모로아파트,0
3110476,역촌역 2번,0
3110526,봉원사,0
3110498,증산역 1번,0
3110499,연가초등학교,0
3110500,남가좌동현대아파트,0
3110462,갈현건영아파트,0
3110463,응암3동주민센터,0
3110464,연신내역 5번,0
3110540,망원나들목체육관,0
3110541,동교초등학교,0
3110527,홍제역 2번,0
3110528,서울여자간호대학교,0
3110573,신촌역 6번,0
3110574,서강대학교,0
3110549,새터산,0
3110550,합정역 8번,0
3111079,둔촌고등학교(둔촌중학교),0
3111080,굽은다리역 3번,0
3111081,둔촌푸르지오아파트,0
3111082,중앙보훈병원,0
3111083,GS강동자이아파트,0
3110593,신월3동주민센터,0
3110594,신월중학교,0
3110595,메디힐병원,0
3110443,수색역 1번,0
3110575,대흥동주민센터,0
3110576,대흥역 3번,0
3110426,상계2동주민센터,0
3110405,방학역 1번,0
3110452,새절역 3번,0
3110557,홍대부속여중고앞,0
3110558,경성고등학교,0
3110559,성산중학교,0
3110413,누원고등학교,0
3110444,수색성당,0
3110445,덕산중학교,0
3110446,내를건너서숲으로도서관,0
3110427,노원 을지대학교병원,0
3110428,상계5동주민센터,0
3110477,은평세무서,0
3110478,응암1동주민센터,0
3110453,신사1동주민센터,0
3110454,선정중학교,0
3110511,연희초등학교,0
3110512,연희지하차도,0
3110513,연희파출소,0
3110515,홍은중학교,0
3110516,정원여중,0
3110564,홍대입구역 3번,0
3110479,연신내역 2번,0
3110529,홍제3동주민센터,0
3110501,연희어린이공원,0
3110502,남가좌파출소,0
3110503,명지대학교교회,0
3110504,명지전문대,0
3110482,연신초등학교,0
3110532,아현역 2번,0
3110533,충정로역 7번,0
3110565,홍익대,0
3110419,수락산디자인거리,0
3110530,아현역 1번,0
3110531,홍지문,0
3110577,용강동주민센터,0
3110578,대흥역 2번,0
3110551,성서초등학교,0
3110552,성미산체육관,0
3110590,만리재,0
3110591,충정로역 6번,0
3110592,서울금융고등학교,0
3110420,광운대역 1번,0
3110468,응암역 3번,0
3110469,응암정보도서관,0
3110579,마포역 4번,0
3110429,공릉동 국수거리,0
3110406,도봉산역 1번,0
3110407,도봉역 2번,0
3110408,가인초등학교,0
3110432,대진고등학교,0
3110433,공릉역 2번,0
3110434,태릉입구역 4번,0
3110435,서울과학기술대,0
3110692,큰굴다리,0
3110693,오류동역 4번,0
3110694,세곡초등학교,0
3110695,개봉1동주민센터,0
3110696,오류동역 1번,0
3110663,우장산롯데캐슬아파트앞,0
3110664,강서구청옆,0
3110665,곰달래도서관,0
3110666,KC대학교,0
3110667,가양역 10번,0
3110749,금산초등학교(금천고등학교),0
3110750,시흥4동주민센터(서울신흥초등학교),0
3110681,온수역 1번,0
3110682,온수역 8번,0
3110683,오류고등학교,0
3110703,개봉역,0
3110704,고척중학교,0
3110705,고산초등학교,0
3110706,그라운드 고척,0
3110722,G타워,0
3110723,가산디지털단지역 1번 출입구,0
3110724,금천구립가산도서관,0
3110725,가산동주민센터,0
3110803,신길2동우편취급국,0
3110804,신풍역 1번,0
3110805,신길새마을금고신길4동지점,0
3110806,서울시립영등포장애인복지관,0
3110733,금천어울림복지센터,0
3110734,금천파출소,0
3110735,말미고개,0
3110736,독산119안전센터,0
3110755,동일여자고등학교,0
3110756,문래중학교,0
3110757,양평역 2번,0
3110758,문래소공원,0
3110807,신길역 3번,0
3110774,당산반도유보라팰리스아파트,0
3110775,대동초등학교,0
3110776,도신초등학교,0
3110643,강서구다솔마을,0
3110644,신광명마을,0
3110645,우장산역 4번,0
3110790,대림1동주민센터,0
3110791,신풍역 3번,0
3110792,영등포역 2번,0
3110793,대림썬프라자,0
3110808,신길역 1번,0
3110809,장훈고등학교,0
3110653,화곡역 2번,0
3110608,신월2동주민센터,0
3110609,신정네거리역 2번,0
3110610,계남근린공원,0
3110699,덕의초등학교,0
3110700,고척초등학교,0
3110623,갈산공원,0
3110624,목동문화체육센터,0
3110625,신정2동주민센터,0
3110626,양화초등학교,0
3110654,까치산역 4번,0
3110655,발산역 5번,0
3110562,연트럴파크(연남동주민센터),0
3110563,상수역 3번,0
3110751,난곡중학교,0
3110752,한울중학교,0
3110684,서울공연예술고등학교,0
3110685,금강수목원아파트,0
3110686,수궁동주민센터,0
3110707,구로창업지원센터,0
3110708,화원어린이공원,0
3110709,구로119안전센터,0
3110710,남구로역 3번,0
3110711,구로초등학교,0
3110712,남구로역 5번,0
3110668,화곡2동주민센터,0
3110669,화곡보람2차아파트,0
3110670,신곡초등학교,0
3110726,금천철쭉어린이공원(금하마을),0
3110815,공군호텔,0
3110816,대방역 6번,0
3110737,금천세무서,0
3110738,문성초등학교,0
3110739,시흥3동 우편취급국,0
3110713,구로보건소,0
3110759,문래예술촌(문래창작촌),0
3110760,선유도역 6번,0
3110761,문래동남성맨션,0
3110762,선유도역 1번,0
3110612,신정역 5번,0
3110613,신정네거리역 4번,0
3110614,목동로데오거리,0
3110615,신서초등학교,0
3110616,양목초등학교,0
3110646,푸른들청소년도서관,0
3110647,화곡역 5번,0
3110648,양천향교역 7번,0
3110794,영동초등학교,0
3110795,도림초등학교,0
3110796,한림대학교한강성심병원,0
3110797,KT대방빌딩,0
3110596,서서울호수공원,0
3110597,신월1동주민센터,0
3110598,신월문화체육센터,0
3110599,신월1파출소,0
3110416,노원초등학교,0
3110417,월계역 3번,0
3110418,광운대학교 남단,0
3110465,연신내역 7번,0
3110701,고척동성당,0
3110702,개봉초등학교,0
3110627,신정롯데캐슬아파트,0
3110628,신목동역,0
3110629,송정역 4번,0
3110630,공항시장역 1번,0
3110631,방화초등학교,0
3110656,까치산역 3번,0
3110657,양천향교역 5번,0
3110658,화곡초등학교,0
3110659,화곡역 4번,0
3110714,구로4동주민센터,0
3110727,독산역 1번 출입구,0
3110728,두산초등학교,0
3110729,가산동우체국,0
3110777,구로세무서,0
3110753,시흥동 은행나무사거리,0
3110754,삼성산자연공원(서울금천초등학교),0
3110687,"천왕역 3번(오류2동주민센터, 서울오류남초등학교)",0
3110688,오류지구대,0
3110715,구로구민회관,0
3110716,구로나눔길,0
3110717,남구로역 2번,0
3110763,영등포구청역 2번,0
3110764,문래역 3번,0
3110671,등촌1동주민센터,0
3110672,백석중학교,0
3110673,뜸부기어린이공원,0
3110674,강서구청가양동별관,0
3110813,보라매역 6번,0
3110814,서울지방병무청,0
3110649,우장산역 1번,0
3110740,금천해태공원,0
3110741,독산2동주민센터,0
3110742,KT금천빌딩(금천구시설관리공단),0
3110798,신풍역 2번,0
3110765,문래동사거리,0
3110766,대림역 5번,0
3110767,도림동주민센터,0
3110600,신월7동주민센터,0
3110466,구산역 2번,0
3110467,은평요양병원,0
3110514,서대문우체국,0
3110650,우장산힐스테이트,0
3110651,화원중학교,0
3110652,양천향교역 2번,0
3110799,영등포본동주민센터,0
3110800,영등포동성당,0
3110801,신풍역 6번(신길6동공영주차장),0
3110802,신길동홍어거리,0
3110601,신월1동우편취급국,0
3110602,신월시영아파트중문,0
3110603,지향초등학교,0
3110660,등촌3동주민센터,0
3110778,구로디지털단지역 4번,0
3110779,대림갑을명가아파트,0
3110611,신정역 1번,0
3110784,신대림초등학교,0
3110785,영등포푸르지오아파트,0
3110617,등촌역 4번,0
3110618,강서고등학교,0
3110619,목4동주민센터,0
3110632,방화역 3번,0
3110633,개화산역 1번,0
3110634,송정역 3번,0
3110661,강서새말어린이공원,0
3110662,까치산역 1번,0
3110718,한국SGI본부,0
3110745,독산동정훈단지,0
3110746,금천금빛공원(은행나무사거리서측),0
3110747,석수역 1번 출입구,0
3110675,화곡4동주민센터,0
3110676,등촌역 7번,0
3110677,등촌역 1번,0
3110678,염창무학아파트,0
3110679,염창역 2번,0
3110680,온수역 5번(온수산업단지),0
3110689,오류동역 3번,0
3110690,오류2동버들시장,0
3110691,개봉중학교,0
3110719,영서중학교,0
3110720,대림역 2번,0
3110721,가리봉파출소,0
3110768,도림2동유수지내체육시설,0
3110817,대방역 4번,0
3110818,신대방역 3번,0
3110819,신대방역 4번,0
3110820,성남고등학교,0
3110730,서울축산농협 독산역지점(독산파출소),0
3110731,금천구청역 1번 출입구,0
3110732,가산초등학교(세일중학교),0
3110743,시흥초등학교(시흥1동우체국),0
3110744,독산동성당,0
3110769,대림차이나타운(대림역 12번),0
3110770,영등포구청역 6번,0
3110771,대림역 11번,0
3110772,신우어린이공원,0
3110773,당산역 13번,0
3110639,신방화역 8번,0
3110640,방화역 1번,0
3110641,공항고등학교,0
3110642,정곡초등학교,0
3110786,당산역 8번,0
3110787,신길3동주민센터,0
3110788,영등포시장역 3번,0
3110789,대림성모병원,0
3110810,영신초등학교,0
3110811,보라매역 4번,0
3110812,신길6동주민센터,0
3110604,신월4동주민센터,0
3110605,목동센트럴아이파크앞,0
3110606,신한은행 신월동지점,0
3110607,금빛새마을금고본점,0
3110697,개봉3동주민센터,0
3110698,개웅초등학교(개웅중학교),0
3110748,백산초등학교,0
3110620,목동보건지소,0
3110621,목동역 5번,0
3110622,달마을공원,0
3110635,공항시장역 3번,0
3110636,방화역 2번,0
3110637,송정역 2번,0
3110638,신방화역 2번,0
3111026,문정역 2번,0
3111027,문정초등학교,0
3111025,경찰병원역 3번,0
3110830,상도초등학교,0
3110831,상도4동주민센터,0
3110880,신림역 1번,0
3110881,구립대학경로당(관악산샘말공원),0
3110882,신성초등학교,0
3110942,염곡동 구룡사(포이동성당),0
3110943,법제교육센터(버들어린이공원),0
3110944,서울나래학교(염곡어린이공원),0
3110968,강남구청역 2번,0
3110969,베르사이유1아파트,0
3110970,학동초등학교,0
3110971,선정릉역 4번,0
3110972,강남세브란스병원미래의학연구센터,0
3110973,강남구청역 4번,0
3111037,Sh수협은행 오금동금융센터(아랫말어린이공원),0
3111017,송파나루역 3번,0
3111018,풍납초등학교(풍납백제문화공원),0
3111041,거여역 8번,0
3111042,거여역 1번(거여공원),0
3110848,양지어린이공원,0
3111077,길동주민센터(강동도서관),0
3111028,문현중학교(장지역 1번),0
3111050,강동구청(강동구청역 2번),0
3111051,천호역 6번,0
3111052,암사역 3번(천호동자전거거리),0
3111053,성내천어린이공원(하니사랑길),0
3110823,신대방삼거리역 3번,0
3110824,대방역 3번,0
3110825,신대방삼거리역 1번,0
3110871,신원동주민센터,0
3110849,이수역 10번,0
3110898,청림동주민센터(상도중학교),0
3110899,낙성대역 5번(관악중학교),0
3111029,오금역 4번,0
3111030,방이역 2번,0
3110856,미성초등학교,0
3110857,미성동주민센터,0
3110858,신대방역 1번,0
3110859,난향초등학교,0
3110872,신림초등학교,0
3110873,당곡중학교,0
3110926,신중초등학교,0
3110900,낙성대역 1번(관악구민 종합체육센터),0
3110983,국립국악고등학교,0
3110984,포이초등학교(개포목련어린이공원),0
3110985,청담근린공원,0
3110986,삼성중앙역 7번,0
3110987,영동대교남단,0
3110832,노량진초등학교,0
3110833,상도역 2번,0
3110834,동작구자원봉사센터,0
3110909,남태령역(서울전자고등학교),0
3110910,내방역 5번,0
3110911,방배배수지체육공원,0
3110912,방배동사이길,0
3111002,한국교통안전공단 강남자동차검사소,0
3110927,잠원역,0
3110928,서초우방유쉘아파트,0
3110929,남부터미널역 1번,0
3110988,청담역 3번,0
3110989,대치동아우편취급국,0
3110990,청담역 12번,0
3110991,삼성중앙역 5번,0
3111054,암사역 4번(삼성광나루아파트),0
3111055,선사초등학교,0
3111056,천호태영아파트,0
3111057,천호공원(해공체육문화센터),0
3110883,은천초등학교(은천교앞),0
3110884,봉천역 4번(봉천110안전센터),0
3111003,삼전역 4번,0
3111004,삼전역 1번,0
3111005,삼전역 3번,0
3111006,석촌고분역 1번,0
3111059,강동역 4번(강풀만화거리),0
3110829,장승배기역 5번,0
3110877,신림역 8번,0
3111058,성내중학교,0
3110850,사당역 10번,0
3110851,경문고등학교(동작동성당),0
3110945,본마을노인복지센터(서초구립내곡도서관),0
3110946,청계산원터골,0
3110947,청계산입구역 2번(내곡동주민센터),0
3111060,암사역 2번(서울강동초등학교),0
3110860,호림박물관(성보고등학교),0
3110861,관악구신사동주민센터,0
3111019,한성백제역 3번,0
3111020,방이동고분군(방산고등학교),0
3110901,인헌고등학교(인헌중학교),0
3110902,사당역 4번,0
3110903,방배아이파크아파트,0
3111031,장지동주민센터(한림연예예술고교),0
3111032,방이역 1번,0
3110862,난곡초등학교(난곡동벽화마을),0
3110913,방현초등학교(방배119안전센터),0
3110914,내방역 6번,0
3110930,서초동성당,0
3110931,삼성전자서울R&D(서울우면초등학교),0
3110932,서울시인재개발원,0
3110933,한국상담대학원대학교,0
3110934,우면주공아파트,0
3110935,한전아트센터,0
3110992,도곡초등학교,0
3110993,개포지하차도 북측,0
3110994,개포고등학교,0
3110995,봉은사역 4번,0
3110996,대치2동주민센터,0
3110835,상도역 1번,0
3110836,상도역 5번,0
3110915,서래초등학교,0
3111007,석촌고분역 4번,0
3111008,석촌고분역 3번,0
3110878,미림여고,0
3110879,신림현대아파트,0
3110936,더케이호텔(양재리본타워2단지아파트),0
3110937,방아다리근린공원(횃불트리니티신학대학원대학교),0
3110938,바우뫼공원,0
